Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
5824,"Hello, My fee receipt was not generated after payment",Finance Office,4,Medium
904,General query about elective subject options,Administration,32,Low
379,"Hello, Hostel room change request for next semester",Hostel Office,23,Medium
4335,"Hi, How can I update my contact details in the portal",IT Support,36,Low
5124,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,1,High
2425,My scholarship amount has not been credited and fee deadline is near,Finance Office,38,High
4922,"Hello, I want to know the scholarship application status",Finance Office,49,Medium
3023,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,1,High
1736,"Respected sir, Placement registration form is not opening properly",Placement Cell,27,Medium
615,"Hello, I want to know the scholarship application status",Finance Office,57,Medium
2083,"Hello, Hostel room change request for next semester",Hostel Office,4,Medium
424,"Hello, How do I apply for an internship through placement cell",Placement Cell,39,Low
5321,I need my admission confirmed urgently before the cutoff today,Admission Cell,13,High
1910,"Hi, What is the procedure for a transcript request",Administration,38,Low
1145,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,23,High
1147,I want to know the scholarship application status,Finance Office,26,Medium
900,I am locked out of the portal and need to pay fee before deadline,Finance Office,50,High
2357,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,37,High
3983,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,53,High
4978,I need my admission confirmed urgently before the cutoff today,Admission Cell,21,High
2027,My fee receipt was not generated after payment,Finance Office,2,Medium
3642,"Hi, Hostel room change request for next semester",Hostel Office,30,Medium
3678,"Hi, Placement registration form is not opening properly",Placement Cell,11,Medium
4370,Where can I find old question papers,Administration,4,Low
1812,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,21,High
5961,"Hi, Hostel room change request for next semester",Hostel Office,20,Medium
5758,I want to know the scholarship application status,Finance Office,16,Medium
7,"Hi, How can I update my contact details in the portal",IT Support,29,Low
3412,"Sir/Madam, General query about elective subject options",Administration,19,Low
5504,"Sir/Madam, I want to know the scholarship application status",Finance Office,11,Medium
1597,"Hi, Placement registration form is not opening properly",Placement Cell,6,Medium
2810,How do I apply for an internship through placement cell,Placement Cell,46,Low
3907,"Sir/Madam, What are the library working hours",Library,2,Low
196,"Hello, How can I update my contact details in the portal",IT Support,2,Low
502,How do I reset my university portal password,IT Support,43,Medium
3176,"Respected sir, Library fine needs to be cleared please advise",Library,49,Medium
2963,"Hi, My exam form submission is failing and the deadline is today",Examination Cell,8,High
2047,"Hello, When will the exam timetable be released",Examination Cell,36,Medium
2915,My scholarship amount has not been credited and fee deadline is near,Finance Office,28,High
3451,"Hello, I need a bonafide certificate from the admission office",Admission Cell,4,Medium
1638,"Hello, What is the procedure for a transcript request",Administration,6,Low
3359,I need a bonafide certificate from the admission office,Admission Cell,43,Medium
2614,"Hello, What are the library working hours",Library,16,Low
2261,"Sir/Madam, I need my admission confirmed urgently before the cutoff today",Admission Cell,31,High
181,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,37,High
4112,"Hello, Library fine needs to be cleared please advise",Library,35,Medium
3151,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,7,High
1215,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,40,High
5932,My scholarship amount has not been credited and fee deadline is near,Finance Office,11,High
2679,My exam form submission is failing and the deadline is today,Examination Cell,18,High
408,"Respected sir, What are the library working hours",Library,33,Low
1140,"Sir/Madam, Library fine needs to be cleared please advise",Library,19,Medium
2826,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,32,High
1350,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,29,High
4641,"Sir/Madam, Library fine needs to be cleared please advise",Library,57,Medium
5024,"Respected sir, My fee receipt was not generated after payment",Finance Office,25,Medium
2285,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,57,High
3456,I want to know the scholarship application status,Finance Office,19,Medium
5907,"Hello, General query about elective subject options",Administration,28,Low
908,How to join student clubs at the university,Administration,55,Low
4537,"Sir/Madam, What is the procedure for a transcript request",Administration,10,Low
3898,"Sir/Madam, Library fine needs to be cleared please advise",Library,4,Medium
568,"Hi, What are the library working hours",Library,7,Low
3527,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,2,Low
2937,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,28,High
3310,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,60,High
954,"Sir/Madam, How can I update my contact details in the portal",IT Support,32,Low
2125,"Sir/Madam, How to join student clubs at the university",Administration,51,Low
4213,"Hi, My fee receipt was not generated after payment",Finance Office,9,Medium
1051,"Hi, My fee receipt was not generated after payment",Finance Office,9,Medium
1336,"Hi, I need a bonafide certificate from the admission office",Admission Cell,59,Medium
4158,"Respected sir, How to join student clubs at the university",Administration,47,Low
2638,"Sir/Madam, How do I reset my university portal password",IT Support,28,Medium
4234,"Hello, What are the library working hours",Library,56,Low
3462,Emergency hostel issue water leakage in my room right now,Hostel Office,32,High
2895,"Hello, How do I apply for an internship through placement cell",Placement Cell,3,Low
5611,"Hi, Where can I find old question papers",Administration,45,Low
2062,"Sir/Madam, Placement registration form is not opening properly",Placement Cell,33,Medium
138,General query about elective subject options,Administration,53,Low
4563,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,56,High
2145,"Respected sir, What are the library working hours",Library,56,Low
5544,My scholarship amount has not been credited and fee deadline is near,Finance Office,2,High
804,"Respected sir, Placement registration form is not opening properly",Placement Cell,26,Medium
162,"Sir/Madam, Hostel room change request for next semester",Hostel Office,55,Medium
3269,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,31,High
758,"Hello, How can I update my contact details in the portal",IT Support,29,Low
4987,"Respected sir, How to join student clubs at the university",Administration,29,Low
5575,"Sir/Madam, What are the library working hours",Library,34,Low
1545,"Sir/Madam, I want to know the scholarship application status",Finance Office,53,Medium
4334,"Respected sir, How do I reset my university portal password",IT Support,27,Medium
4692,"Sir/Madam, How to join student clubs at the university",Administration,47,Low
1971,When will the exam timetable be released,Examination Cell,47,Medium
4484,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,2,High
2304,"Hello, How can I update my contact details in the portal",IT Support,41,Low
996,"Hello, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,29,High
58,"Respected sir, Library fine needs to be cleared please advise",Library,9,Medium
867,"Respected sir, How to join student clubs at the university",Administration,42,Low
205,"Sir/Madam, General query about elective subject options",Administration,36,Low
4911,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,34,High
5081,"Respected sir, I want to know the scholarship application status",Finance Office,35,Medium
4375,"Hi, I need a bonafide certificate from the admission office",Admission Cell,8,Medium
5635,What are the library working hours,Library,17,Low
2224,"Hi, Hostel room change request for next semester",Hostel Office,8,Medium
5146,"Respected sir, What are the library working hours",Library,46,Low
3863,"Sir/Madam, What are the library working hours",Library,16,Low
5286,"Hi, General query about elective subject options",Administration,50,Low
3180,"Sir/Madam, Library fine needs to be cleared please advise",Library,13,Medium
3017,What is the procedure for a transcript request,Administration,24,Low
5942,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,28,High
2155,"Sir/Madam, General query about elective subject options",Administration,45,Low
354,Placement registration form is not opening properly,Placement Cell,32,Medium
2205,My scholarship amount has not been credited and fee deadline is near,Finance Office,23,High
2870,"Hi, When will the exam timetable be released",Examination Cell,42,Medium
5158,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,30,High
3545,"Sir/Madam, What are the library working hours",Library,9,Low
4590,Library fine needs to be cleared please advise,Library,14,Medium
2399,"Hello, Placement registration form is not opening properly",Placement Cell,54,Medium
979,"Hi, How do I apply for an internship through placement cell",Placement Cell,22,Low
4132,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,58,High
282,"Respected sir, When will the exam timetable be released",Examination Cell,45,Medium
2533,"Hi, How can I update my contact details in the portal",IT Support,29,Low
672,"Hi, General query about elective subject options",Administration,20,Low
3214,"Respected sir, Library fine needs to be cleared please advise",Library,33,Medium
4774,"Hi, How can I update my contact details in the portal",IT Support,53,Low
4441,"Respected sir, How can I update my contact details in the portal",IT Support,42,Low
5491,"Respected sir, Placement registration form is not opening properly",Placement Cell,4,Medium
1865,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,52,High
3021,"Respected sir, How can I update my contact details in the portal",IT Support,29,Low
3816,"Hello, How to join student clubs at the university",Administration,51,Low
505,What is the procedure for a transcript request,Administration,9,Low
1008,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,40,High
1084,"Hello, How can I update my contact details in the portal",IT Support,44,Low
1634,I need a bonafide certificate from the admission office,Admission Cell,12,Medium
2952,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,27,Low
4415,"Sir/Madam, What are the library working hours",Library,10,Low
2073,"Sir/Madam, My exam form submission is failing and the deadline is today",Examination Cell,57,High
1347,"Hi, What is the procedure for a transcript request",Administration,24,Low
2607,"Sir/Madam, General query about elective subject options",Administration,44,Low
1218,I want to know the scholarship application status,Finance Office,12,Medium
4714,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,47,High
2137,"Sir/Madam, How to join student clubs at the university",Administration,35,Low
5784,"Hi, Library fine needs to be cleared please advise",Library,37,Medium
4414,How do I apply for an internship through placement cell,Placement Cell,58,Low
3724,"Sir/Madam, How can I update my contact details in the portal",IT Support,60,Low
1810,"Sir/Madam, How can I update my contact details in the portal",IT Support,50,Low
2177,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,27,High
2433,"Sir/Madam, What is the procedure for a transcript request",Administration,24,Low
2259,"Sir/Madam, I want to know the scholarship application status",Finance Office,28,Medium
1728,"Hello, What documents are needed for hostel allotment",Hostel Office,26,Low
974,"Respected sir, Where can I find old question papers",Administration,13,Low
3417,"Hi, General query about elective subject options",Administration,25,Low
628,"Sir/Madam, Library fine needs to be cleared please advise",Library,49,Medium
4049,When will the exam timetable be released,Examination Cell,52,Medium
988,"Hi, General query about elective subject options",Administration,43,Low
3188,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,33,High
293,"Respected sir, How can I update my contact details in the portal",IT Support,44,Low
1113,"Hi, Hostel room change request for next semester",Hostel Office,7,Medium
165,"Sir/Madam, When will the exam timetable be released",Examination Cell,47,Medium
290,What documents are needed for hostel allotment,Hostel Office,3,Low
3712,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,40,High
5289,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,28,High
2229,Placement registration form is not opening properly,Placement Cell,49,Medium
5004,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,7,High
368,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,7,High
4903,"Respected sir, What is the procedure for a transcript request",Administration,23,Low
3714,"Hi, What is the procedure for a transcript request",Administration,49,Low
4712,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,11,High
2264,"Hello, How do I reset my university portal password",IT Support,1,Medium
670,"Hi, What documents are needed for hostel allotment",Hostel Office,53,Low
3871,"Sir/Madam, How can I update my contact details in the portal",IT Support,26,Low
4562,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,20,High
448,"Hi, When will the exam timetable be released",Examination Cell,29,Medium
5103,"Hi, What documents are needed for hostel allotment",Hostel Office,28,Low
2128,When will the exam timetable be released,Examination Cell,26,Medium
3201,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,23,High
1429,"Hello, What documents are needed for hostel allotment",Hostel Office,39,Low
4894,"Hello, My fee receipt was not generated after payment",Finance Office,47,Medium
1002,How can I update my contact details in the portal,IT Support,54,Low
1344,"Respected sir, How can I update my contact details in the portal",IT Support,24,Low
4821,"Hi, Library fine needs to be cleared please advise",Library,21,Medium
5732,Wifi has been down for three days and I have an online exam,Examination Cell,50,High
5733,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,35,High
863,I need my admission confirmed urgently before the cutoff today,Admission Cell,15,High
3070,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,48,Medium
855,"Hello, My fee receipt was not generated after payment",Finance Office,17,Medium
5875,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,3,High
1142,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,24,High
2742,I want to know the scholarship application status,Finance Office,7,Medium
5351,"Respected sir, How to join student clubs at the university",Administration,20,Low
3208,"Sir/Madam, What is the procedure for a transcript request",Administration,22,Low
1373,"Respected sir, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,19,High
1988,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,22,Medium
1497,"Hi, I need a bonafide certificate from the admission office",Admission Cell,37,Medium
3318,How do I apply for an internship through placement cell,Placement Cell,38,Low
5469,"Respected sir, When will the exam timetable be released",Examination Cell,39,Medium
3399,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,42,High
1815,"Sir/Madam, What are the library working hours",Library,23,Low
5142,"Hi, Placement registration form is not opening properly",Placement Cell,37,Medium
4889,"Hello, How do I reset my university portal password",IT Support,25,Medium
2831,"Hello, When will the exam timetable be released",Examination Cell,24,Medium
1911,"Hello, I need a bonafide certificate from the admission office",Admission Cell,1,Medium
2037,"Respected sir, How do I apply for an internship through placement cell",Placement Cell,37,Low
3612,I need my admission confirmed urgently before the cutoff today,Admission Cell,18,High
318,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,24,High
255,"Hi, How do I reset my university portal password",IT Support,34,Medium
4250,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,47,High
847,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,21,High
2051,"Hello, How can I update my contact details in the portal",IT Support,55,Low
4125,"Hi, What documents are needed for hostel allotment",Hostel Office,57,Low
2469,My scholarship amount has not been credited and fee deadline is near,Finance Office,16,High
1302,"Sir/Madam, Where can I find old question papers",Administration,42,Low
2517,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,15,High
5207,"Sir/Madam, What are the library working hours",Library,12,Low
2590,"Sir/Madam, My exam form submission is failing and the deadline is today",Examination Cell,50,High
5471,"Hi, How can I update my contact details in the portal",IT Support,55,Low
5865,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,15,High
1563,"Hi, How do I apply for an internship through placement cell",Placement Cell,5,Low
1842,Placement registration form is not opening properly,Placement Cell,41,Medium
270,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,54,High
2733,"Sir/Madam, When will the exam timetable be released",Examination Cell,26,Medium
3937,"Respected sir, Hostel room change request for next semester",Hostel Office,7,Medium
5936,"Hello, What is the procedure for a transcript request",Administration,31,Low
3305,My fee receipt was not generated after payment,Finance Office,2,Medium
5287,What is the procedure for a transcript request,Administration,50,Low
1857,"Hi, My exam form submission is failing and the deadline is today",Examination Cell,32,High
98,How do I reset my university portal password,IT Support,41,Medium
134,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,14,High
970,"Hi, How to join student clubs at the university",Administration,37,Low
2799,"Sir/Madam, How can I update my contact details in the portal",IT Support,12,Low
3840,"Hello, Where can I find old question papers",Administration,34,Low
619,"Hello, What is the procedure for a transcript request",Administration,13,Low
2315,"Hello, How do I reset my university portal password",IT Support,58,Medium
4625,"Sir/Madam, General query about elective subject options",Administration,17,Low
2965,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,4,High
5482,"Hi, I want to know the scholarship application status",Finance Office,56,Medium
5913,My scholarship amount has not been credited and fee deadline is near,Finance Office,17,High
1352,"Hello, How can I update my contact details in the portal",IT Support,52,Low
5093,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,15,High
2964,"Sir/Madam, Where can I find old question papers",Administration,47,Low
2320,My fee receipt was not generated after payment,Finance Office,35,Medium
2621,Hostel room change request for next semester,Hostel Office,15,Medium
4698,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,17,Low
2139,"Hi, I need a bonafide certificate from the admission office",Admission Cell,18,Medium
4405,Wifi has been down for three days and I have an online exam,Examination Cell,53,High
1148,"Hello, I need a bonafide certificate from the admission office",Admission Cell,54,Medium
2001,"Respected sir, General query about elective subject options",Administration,31,Low
5029,"Respected sir, General query about elective subject options",Administration,22,Low
802,I need my admission confirmed urgently before the cutoff today,Admission Cell,17,High
1011,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,13,High
789,I am locked out of the portal and need to pay fee before deadline,Finance Office,52,High
4425,"Respected sir, What is the procedure for a transcript request",Administration,38,Low
5840,What is the procedure for a transcript request,Administration,8,Low
4715,Admit card has wrong details and exam is in two days,Examination Cell,49,High
482,"Respected sir, What are the library working hours",Library,48,Low
5688,Placement registration form is not opening properly,Placement Cell,3,Medium
4651,"Hello, When will the exam timetable be released",Examination Cell,43,Medium
5463,"Hi, When will the exam timetable be released",Examination Cell,13,Medium
4722,Hostel room change request for next semester,Hostel Office,23,Medium
1587,"Hello, What are the library working hours",Library,32,Low
1944,My fee receipt was not generated after payment,Finance Office,26,Medium
1493,"Sir/Madam, When will the exam timetable be released",Examination Cell,47,Medium
5722,I want to know the scholarship application status,Finance Office,17,Medium
3327,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,15,High
5002,"Hi, What documents are needed for hostel allotment",Hostel Office,35,Low
1685,"Hi, How do I reset my university portal password",IT Support,31,Medium
2389,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,2,Medium
4924,"Hello, Library fine needs to be cleared please advise",Library,22,Medium
5162,"Hi, What are the library working hours",Library,52,Low
4611,"Respected sir, Placement registration form is not opening properly",Placement Cell,3,Medium
2310,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,26,High
2283,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,32,Medium
3297,"Respected sir, How can I update my contact details in the portal",IT Support,5,Low
46,"Respected sir, My fee receipt was not generated after payment",Finance Office,50,Medium
801,"Hello, Where can I find old question papers",Administration,21,Low
2491,"Sir/Madam, I am locked out of the portal and need to pay fee before deadline",Finance Office,16,High
5680,I want to know the scholarship application status,Finance Office,57,Medium
363,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,53,High
4790,"Respected sir, Placement registration form is not opening properly",Placement Cell,44,Medium
3885,How do I reset my university portal password,IT Support,15,Medium
57,"Hello, How do I apply for an internship through placement cell",Placement Cell,43,Low
3140,Emergency hostel issue water leakage in my room right now,Hostel Office,36,High
4610,"Sir/Madam, What are the library working hours",Library,49,Low
2865,"Respected sir, Hostel room change request for next semester",Hostel Office,7,Medium
2969,"Respected sir, My exam form submission is failing and the deadline is today",Examination Cell,54,High
4376,"Sir/Madam, How to join student clubs at the university",Administration,12,Low
3737,"Sir/Madam, Library fine needs to be cleared please advise",Library,59,Medium
3553,"Respected sir, General query about elective subject options",Administration,42,Low
5671,General query about elective subject options,Administration,29,Low
2923,"Respected sir, I need my admission confirmed urgently before the cutoff today",Admission Cell,58,High
3476,"Sir/Madam, I am locked out of the portal and need to pay fee before deadline",Finance Office,10,High
118,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,42,High
3149,Wifi has been down for three days and I have an online exam,Examination Cell,58,High
2889,My scholarship amount has not been credited and fee deadline is near,Finance Office,11,High
5643,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,13,High
3159,"Hi, How can I update my contact details in the portal",IT Support,11,Low
1818,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,41,High
5943,"Hello, How to join student clubs at the university",Administration,55,Low
5526,"Hi, What are the library working hours",Library,35,Low
3753,"Respected sir, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,37,High
558,"Hi, I need a bonafide certificate from the admission office",Admission Cell,14,Medium
3652,"Respected sir, How do I apply for an internship through placement cell",Placement Cell,49,Low
4232,"Sir/Madam, Library fine needs to be cleared please advise",Library,19,Medium
1320,"Respected sir, I need my admission confirmed urgently before the cutoff today",Admission Cell,31,High
2317,"Respected sir, How do I apply for an internship through placement cell",Placement Cell,40,Low
5957,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,19,High
4006,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,56,Medium
1466,"Sir/Madam, I want to know the scholarship application status",Finance Office,47,Medium
1472,"Respected sir, My fee receipt was not generated after payment",Finance Office,31,Medium
3997,"Respected sir, Library fine needs to be cleared please advise",Library,28,Medium
1198,"Hi, Library fine needs to be cleared please advise",Library,14,Medium
2894,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,3,High
4919,"Hi, How can I update my contact details in the portal",IT Support,7,Low
4656,I need a bonafide certificate from the admission office,Admission Cell,18,Medium
5224,"Hi, Where can I find old question papers",Administration,58,Low
4324,"Respected sir, How can I update my contact details in the portal",IT Support,2,Low
5420,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,50,High
3995,When will the exam timetable be released,Examination Cell,1,Medium
1468,"Hi, I need my admission confirmed urgently before the cutoff today",Admission Cell,22,High
3850,"Hello, How do I reset my university portal password",IT Support,28,Medium
5090,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,16,High
2296,"Hello, Emergency hostel issue water leakage in my room right now",Hostel Office,11,High
5182,My scholarship amount has not been credited and fee deadline is near,Finance Office,57,High
4270,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,27,High
1354,How to join student clubs at the university,Administration,53,Low
4723,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,25,High
5212,"Respected sir, I want to know the scholarship application status",Finance Office,6,Medium
2013,General query about elective subject options,Administration,35,Low
4313,Placement registration form is not opening properly,Placement Cell,20,Medium
2019,"Sir/Madam, What are the library working hours",Library,30,Low
5191,"Respected sir, Hostel room change request for next semester",Hostel Office,34,Medium
415,"Hello, General query about elective subject options",Administration,10,Low
907,"Hi, What are the library working hours",Library,48,Low
287,"Hi, What documents are needed for hostel allotment",Hostel Office,48,Low
1686,"Respected sir, I need my admission confirmed urgently before the cutoff today",Admission Cell,58,High
5409,"Hello, I want to know the scholarship application status",Finance Office,26,Medium
1348,"Hello, What is the procedure for a transcript request",Administration,20,Low
579,"Sir/Madam, What are the library working hours",Library,38,Low
2757,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,53,High
4351,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,17,High
4314,"Hi, Library fine needs to be cleared please advise",Library,19,Medium
5304,Urgent I cannot download my hall ticket exam is tomorrow,Examination Cell,40,High
1578,"Respected sir, What documents are needed for hostel allotment",Hostel Office,31,Low
5495,"Hello, When will the exam timetable be released",Examination Cell,4,Medium
1987,"Hi, What are the library working hours",Library,14,Low
2596,"Hello, My fee receipt was not generated after payment",Finance Office,21,Medium
1427,My fee receipt was not generated after payment,Finance Office,11,Medium
775,My fee receipt was not generated after payment,Finance Office,50,Medium
4176,"Sir/Madam, Placement registration form is not opening properly",Placement Cell,47,Medium
2004,"Hello, How to join student clubs at the university",Administration,11,Low
3202,"Respected sir, What documents are needed for hostel allotment",Hostel Office,19,Low
2977,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,46,Medium
2080,"Sir/Madam, What is the procedure for a transcript request",Administration,36,Low
5900,"Sir/Madam, I am locked out of the portal and need to pay fee before deadline",Finance Office,15,High
562,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,9,High
2970,"Hi, I want to know the scholarship application status",Finance Office,31,Medium
298,"Sir/Madam, How do I reset my university portal password",IT Support,58,Medium
2194,Admit card has wrong details and exam is in two days,Examination Cell,9,High
4304,"Hello, Library fine needs to be cleared please advise",Library,46,Medium
425,I want to know the scholarship application status,Finance Office,29,Medium
1063,Placement registration form is not opening properly,Placement Cell,44,Medium
1541,"Respected sir, When will the exam timetable be released",Examination Cell,16,Medium
1249,"Respected sir, My fee receipt was not generated after payment",Finance Office,53,Medium
4743,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,20,High
3328,Admit card has wrong details and exam is in two days,Examination Cell,15,High
5503,"Hi, Library fine needs to be cleared please advise",Library,43,Medium
2,"Hi, Library fine needs to be cleared please advise",Library,9,Medium
2573,How do I reset my university portal password,IT Support,41,Medium
3386,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,6,High
1360,"Sir/Madam, I need my admission confirmed urgently before the cutoff today",Admission Cell,1,High
2943,What are the library working hours,Library,56,Low
2470,"Sir/Madam, How to join student clubs at the university",Administration,23,Low
1337,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,57,High
3952,"Hello, What are the library working hours",Library,49,Low
4055,"Hello, How do I reset my university portal password",IT Support,31,Medium
831,"Hi, Emergency hostel issue water leakage in my room right now",Hostel Office,52,High
175,What are the library working hours,Library,49,Low
4877,My exam form submission is failing and the deadline is today,Examination Cell,50,High
839,"Sir/Madam, How can I update my contact details in the portal",IT Support,10,Low
4419,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,8,High
2014,"Hi, General query about elective subject options",Administration,1,Low
3778,Admit card has wrong details and exam is in two days,Examination Cell,30,High
